,loss
132,13.40101432800293
133,13.063728332519531
134,13.21324348449707
135,13.243110656738281
136,13.773656845092773
137,13.300470352172852
138,13.553881645202637
139,13.03818130493164
140,13.61233901977539
141,13.042604446411133
142,13.712662696838379
143,12.885108947753906
144,13.01179313659668
145,13.200530052185059
146,13.324274063110352
147,13.144217491149902
148,13.563837051391602
149,13.386030197143555
150,13.294137001037598
151,13.528569221496582
152,13.288975715637207
153,13.383338928222656
154,13.323083877563477
155,13.36349868774414
156,13.091222763061523
157,13.677420616149902
158,12.834415435791016
159,12.595986366271973
160,12.569872856140137
161,13.462762832641602
162,13.825790405273438
163,13.315156936645508
164,13.33433723449707
165,12.910432815551758
166,13.191896438598633
167,13.035271644592285
168,13.075601577758789
169,13.10909652709961
170,13.405136108398438
171,12.98561954498291
172,13.083503723144531
173,13.23667049407959
174,13.161985397338867
175,12.759570121765137
176,13.67364501953125
177,13.545110702514648
178,13.237737655639648
179,13.28869915008545
180,12.825797080993652
181,13.417596817016602
182,13.460376739501953
183,13.391986846923828
184,12.83880615234375
185,13.338973045349121
186,13.248990058898926
187,13.715479850769043
188,12.60324764251709
189,13.977073669433594
190,13.294975280761719
191,13.441665649414062
192,12.716856002807617
193,12.889991760253906
194,12.863819122314453
195,13.16403579711914
196,13.176393508911133
197,12.854766845703125
198,12.914485931396484
199,12.79885196685791
200,12.941730499267578
201,13.172922134399414
202,12.675081253051758
203,13.34451675415039
204,12.888161659240723
205,12.861885070800781
206,13.178531646728516
207,13.143400192260742
208,12.824679374694824
209,13.322042465209961
210,13.015551567077637
211,13.145899772644043
212,12.620734214782715
213,13.338761329650879
214,13.187140464782715
215,13.00804615020752
216,13.062204360961914
217,12.533096313476562
218,12.943120956420898
219,13.071700096130371
220,12.80817985534668
221,12.96618938446045
222,12.92477035522461
223,12.481182098388672
224,12.950428009033203
225,13.06461238861084
226,12.382235527038574
227,12.967018127441406
228,13.073823928833008
229,12.480772018432617
230,13.123485565185547
231,12.242209434509277
232,12.819135665893555
233,13.199411392211914
234,12.871969223022461
235,12.960747718811035
236,13.053080558776855
237,12.78770637512207
238,13.098604202270508
239,12.711225509643555
240,12.962833404541016
241,12.571765899658203
242,12.922101020812988
243,12.653425216674805
244,12.519765853881836
245,12.852765083312988
246,12.193645477294922
247,12.444372177124023
248,12.570211410522461
249,13.286262512207031
250,13.089427947998047
251,12.255155563354492
252,12.352934837341309
253,12.706592559814453
254,12.52259635925293
255,12.633647918701172
256,12.379300117492676
257,12.785065650939941
258,12.612981796264648
259,13.17703628540039
260,12.438156127929688
261,12.333625793457031
262,12.569557189941406
263,12.799098014831543
264,12.715361595153809
265,12.327520370483398
266,12.78302001953125
267,12.839057922363281
268,12.612939834594727
269,12.698858261108398
270,12.583976745605469
271,12.562886238098145
272,12.5867919921875
273,12.719762802124023
274,12.583495140075684
275,12.586213111877441
276,12.589241027832031
277,12.451497077941895
278,12.812417984008789
279,12.68547534942627
280,12.641292572021484
281,12.343035697937012
282,12.396279335021973
283,12.892900466918945
284,12.9009370803833
285,12.57713794708252
286,12.549514770507812
287,12.451594352722168
288,12.71772575378418
289,12.836992263793945
290,12.482906341552734
291,12.298845291137695
292,12.341466903686523
293,12.194403648376465
294,12.356090545654297
295,12.924827575683594
296,12.335977554321289
297,12.537008285522461
298,12.712730407714844
299,12.997882843017578
300,12.580223083496094
301,12.4605073928833
302,12.756556510925293
303,12.475652694702148
304,12.456513404846191
305,12.70434856414795
306,12.44447135925293
307,12.391059875488281
308,12.383848190307617
309,12.403197288513184
310,12.47327995300293
311,12.727991104125977
312,12.565924644470215
313,12.3284912109375
314,12.434553146362305
315,12.301018714904785
316,12.377290725708008
317,12.193674087524414
318,12.315317153930664
319,12.831110000610352
320,12.492385864257812
321,12.542691230773926
322,12.462932586669922
323,12.549798011779785
324,12.211565017700195
325,12.411049842834473
326,12.712418556213379
327,12.34582233428955
328,12.949854850769043
329,12.51994514465332
330,12.424785614013672
331,12.56657886505127
332,12.39437484741211
333,12.333524703979492
334,12.787549018859863
335,12.781587600708008
336,12.70805835723877
337,12.825706481933594
338,12.212148666381836
339,12.607118606567383
340,12.576400756835938
341,12.209280967712402
342,12.586872100830078
343,12.550429344177246
344,12.368194580078125
345,12.0864896774292
346,12.232853889465332
347,12.849157333374023
348,12.567886352539062
349,12.37962532043457
350,12.085943222045898
351,12.231518745422363
352,12.46402645111084
353,12.719414710998535
354,12.583391189575195
355,12.613656044006348
356,12.893486022949219
357,12.228102684020996
358,12.955503463745117
359,12.214106559753418
360,12.310672760009766
361,12.20666217803955
362,12.111913681030273
363,12.579565048217773
364,13.071576118469238
365,12.325180053710938
366,12.595989227294922
367,11.959308624267578
368,12.356518745422363
369,12.107157707214355
370,12.661398887634277
371,12.338641166687012
372,12.51220989227295
373,12.243817329406738
374,12.243843078613281
375,12.460724830627441
376,12.647075653076172
377,12.447092056274414
378,12.320981979370117
379,12.390239715576172
380,12.09642219543457
381,12.533337593078613
382,12.498250961303711
383,12.256352424621582
384,12.716992378234863
385,12.457658767700195
386,12.327899932861328
387,12.212854385375977
388,12.405862808227539
389,12.453917503356934
390,11.989770889282227
391,12.494308471679688
392,12.208732604980469
393,12.443180084228516
394,12.722195625305176
395,12.515706062316895
396,12.839035034179688
397,12.347472190856934
398,12.38184928894043
399,12.151151657104492
400,12.64456558227539
401,12.464476585388184
402,12.160152435302734
403,12.436553955078125
404,12.457588195800781
405,12.315330505371094
406,12.313461303710938
407,12.300780296325684
408,12.344915390014648
409,12.539535522460938
410,12.185039520263672
411,12.134922981262207
412,12.236162185668945
413,12.597681999206543
414,12.153093338012695
415,12.266890525817871
416,12.355019569396973
417,12.354455947875977
418,12.31960678100586
419,12.755053520202637
420,12.249107360839844
421,12.31773853302002
422,12.086660385131836
423,12.428339004516602
424,12.214632034301758
425,12.23461627960205
426,12.470002174377441
427,12.503795623779297
428,12.5986328125
429,12.339376449584961
430,11.960034370422363
431,12.433704376220703
432,12.512308120727539
433,12.432943344116211
434,12.260184288024902
435,12.125751495361328
436,12.08803939819336
437,12.448594093322754
438,12.218738555908203
439,12.559362411499023
440,12.87889575958252
441,12.4169921875
442,12.36256217956543
443,12.170103073120117
444,12.231502532958984
445,12.464868545532227
446,12.224838256835938
447,12.441791534423828
448,12.915460586547852
449,12.32734203338623
450,12.473054885864258
451,12.27020263671875
452,12.017511367797852
453,12.095499992370605
454,12.2092866897583
455,12.508523941040039
456,12.64974308013916
457,11.972344398498535
458,12.108086585998535
459,12.340856552124023
460,12.335716247558594
461,12.458015441894531
462,12.237462043762207
463,12.578865051269531
464,12.27627182006836
465,12.480963706970215
466,11.961324691772461
467,12.3673677444458
468,12.408638000488281
469,12.239665985107422
470,12.064347267150879
471,12.235910415649414
472,12.470252990722656
473,12.494247436523438
474,12.138467788696289
475,12.192249298095703
476,12.245830535888672
477,12.335049629211426
478,12.744495391845703
479,12.294427871704102
480,12.158563613891602
481,12.33285140991211
482,12.199264526367188
483,11.962260246276855
484,12.46306037902832
485,12.236270904541016
486,12.461669921875
487,12.265907287597656
488,12.355969429016113
489,12.305523872375488
490,12.060441970825195
491,12.736446380615234
492,12.209075927734375
